,original_user_link,original_context,original_time
15,https://weibo.com/pjiejie,"啊啊啊啊29岁新鲜的#肖战吹蜡烛#
吹蜡烛的亚子好可爱，脸上被弄了蛋糕 @X玖少年团肖战DAYTOY
#陈浩用海绵宝宝配音为肖战庆生##愿君安# L星闻揭秘的微博视频",10月5日 22:09
16,https://weibo.com/a520xiao,#肖战# 分享 R胡作非为de欲哥哥的微博投票,10月6日 00:15
17,https://weibo.com/bxaurora,"20201005 肖战工作室抖/////音更新
#肖战1005生日快乐# 肖战生日快乐！
去原视频点赞哟
-  L极光Aurora·博肖视频站的微博视频",10月5日 22:13
18,https://weibo.com/u/7479939833,"有拜神那味儿了#川美# #愿君安#
@四川美术学院 @中国反邪教 @共青团中央 @平安重庆 @军机不可泄露 @怂的载体 @冬亚 @花容不可失色 @_麟九_ @拆台CT @金碟打牌碎星辰 @饭圈嘟嘟 @东山再起肖蔷 @哈根达酥酥酥酥
L有狐bot3的微博视频",10月6日 00:04
19,https://weibo.com/u/7444103693,"卡不卡点的都无所谓了，分析这个毫无意义。关键是发与不发。这是质的差别。
EL还是很谨慎的，发的只是一张生贺图，没有活动，没有上架推广，没有物料，只是做到了被代言品牌的应尽表面功夫。但表面功夫是可以不做的，既然做了，就是传达讯息：还要继续合作。继续合作对EL的利大于弊。

商家是不讲道理，只看利益的，商家也不是蠢猪，作出的判断都是基于他们拥有的情报和消息。所以按照常识和社会经验，可以推论出他要翻身，他还会有商业价值，但目前商业价值的上升空间尚不明朗，所以EL选择保守性地发一条庆生祝贺。

当然要继续抵制了，抵制本来就是为了自己咽不下那一口气，是因为本能地要回避他的所有商品。当然抵制也是要看技巧的，机械性地抵制EL已经不会有多大用处了，EL已经和开小灶、真果粒，霉瑰花变成同一性质的品牌了。

所谓同一性质，指的付出大量抵制精力，但回报比较小的商品。
但这并不代表需要停止发声，不如说现在开始要更多的发声。
不能一声不吭地让人骑脸，不是么。",10月6日 00:58
20,https://weibo.com/u/6583976665,"肖战超话🎂#肖战1005生日快乐#
《众相渡他》
——2020年肖战原创生贺曲 （诨名:驭风2.0）

网易云：O网页链接
Q音：K众相渡他（2020肖战生贺原创曲）

一岁一见，岁岁遂愿。
@X玖少年团肖战DAYTOY @肖战工作室

作曲：@执素兮
作词：@低糖陨星 /不愿
编曲：@恒曌曌
演唱：@执素兮 /@阿YueYue /@老坛酸辣仙
剪辑：@-Awide- / @反派水蜜桃 /@老坛酸辣仙 /@nuIlity
封面绘画：@酸性绿
字幕排版：@一鹤枝
混音：@幺唠
出品：岁岁Studio L肖战_bot的微博视频",10月4日 22:05
21,https://weibo.com/u/5874584452,"肖战粉丝也生气了，说#川美# 涂鸦墙上好多明星，怎么到了肖战就不可以
这到底怎么回事啊……",10月6日 00:46
22,https://weibo.com/u/5938265292,"澄清‼️
1⃣关于川美
       美术馆：无人机起飞的位置为美术馆边上，美术馆五点左右就关门了，不影响美术馆游客的参观。
        设计楼：美术馆后面最近的几栋楼为设计楼。在国庆期间学校均不开放，不影响学生上课。
         宿舍：宿舍均在南门一带，与东门的活动相隔甚远，也不影响学生正常休息及学习。
2⃣关于熙街
      位置：该位置为熙街出口之一，熙街有几十个出口，该位置平时人流远低于熙街中心部分，且十分空旷。是不影响非参与者行走的。该地点也是品牌方的选择，其更多考虑的是交通方便程度，人流量，场地是否开阔等因素。但均是xz本人和粉丝所不能决定的。
      活动：熙街平时活动非常多，音乐节，各类商业活动每日都有，从不间断。喇叭噪音不比这个小。
3⃣人流量：国庆期间，熙街川美也是旅游景点，因疫情非本校人员不得进入川美，因此游客一般均在熙街游玩，前几日熙街人流量本就是非常大的。
4⃣参与者：粉丝确实占一部分，但熙街平时人流量就十分大，这也是我知道的熙街第一次有无人机表演，很大一部分也是好奇的路人也想观赏无人机表演。所以参与人数是无法预估的。最后也因为人数过多而取消，没有举办活动哈。
5⃣最后，川美虽然不是顶尖学校，但好歹也是八大美院。10w人报考，只录一千多人的学校。人人都是百里挑一进来的，别来cos，你不配！",10月6日 00:25
23,https://weibo.com/u/5743911134,"#肖战# xz#肖战正能量艺人#
不同的角色，不同的性格，亦是不同的人生和命运。一个又一个角色的诠释刻画中，肖战证明了演员的多变性与可塑性。 不畏寒夜跟坎坷，不惧磨砺与挑战。 演员肖战，正努力地成为值得我们骄傲的人。
xz xzgg @X玖少年团肖战DAYTOY
L肖战全平台安利组的微博视频",10月6日 00:12
24,https://weibo.com/u/6600089623,删除tp分享，#肖战正能量艺人# ❤️#肖战公益一路有你# #支持肖战影视综艺# RDAYTOY守护站的微博投票,10月6日 00:23
