,weibo_context,weibo_time,like_num,user
18,"#肖战1005生日快乐#
海外粉丝的祝福永远如此热烈
2020年10月05日23国推特趋势汇总👇：
*世界🌐趋势第11位（话题第4位）
泰国🇹🇭趋势第1位，第2位
越南🇻🇳趋势第1位
韩国🇰🇷趋势第1位，第6位，第30位...展开全文c",10月5日 00:46,40112,0.0
19,感谢你来到我们的心里，肖战，生日快乐！肖战超话,10月5日 00:29,4104,0.0
20,"怎么回事！英语虾惊叹道：这还是我们认识的肖战@X玖少年团肖战DAYTOY 吗？除了惊讶于与平时不同的我们的宝贝以外，更开心于有趣的灵魂回来啦#肖战出道四周年快乐#！肖战超话

------
虾粮海外转运站英语组

资料：♡海外阿姨 ♡小六进进
翻译 ...展开全文c",9月30日 09:07,6176,0.0
21,"温柔腼腆的日本虾来了～
祝#肖战出道四周年快乐#  🎉🎉🎉！
无论何时只愿你@X玖少年团肖战DAYTOY 可以继续璀璨绚丽的发光🔆，而我们会永远在你身后默默支持你！只要你快乐幸福就好

------
虾粮海外转运站日语组
...展开全文c",9月29日 16:05,5266,0.0
22,"#肖战出道四周年快乐#
祝贺我们的宝贝肖战出道四周年快乐👏👏👏
随之而来的各个国家和地区的推特趋势⬆️：
泰国🇹🇭趋势第1位
缅甸🇲🇲趋势第1位
越南🇻🇳趋势第1位
新加坡🇸🇬趋势第1位...展开全文c",9月28日 02:38,82098,0.0
23,"#肖战 谁还不会整点儿土味情话啊#  之后，这不，英语土味情话就来啦~ 土味情话的确不分语言一大波滚烫的英语土味情话正在向我们袭来！快来看看谁才是土味情话界的高手呗👻@X玖少年团肖战DAYTOY 真是“怪不好意思的”🙈肖战超话

------
虾粮海外转运站英语组

资料： ...展开全文c",9月25日 11:38,5635,0.0
24,"#肖战余生请多指教# 久违的顾医生带着甜甜的爱情来了！韩国虾在看过#余生请多指教新预告# 后因为顾医生的温柔眼神超级心动💗尖叫声不绝于耳～请大家保护好自己的耳朵👂🏻万分期待早日见到顾医生啊肖战超话

------
虾粮海外转运站韩语组

资料&制图: L.I
翻译&校对: 速溶 ...展开全文c",9月24日 11:33,6754,0.0
25,"#青年演员肖战#面对突如其来的灾难，人类的很多感情是共通的，通过一个又一个看似平凡的小人物，看到了yi情汹涌下每个为之奋战的武汉人民，现在就和小粮一起看看英、俄、韩、日对《幸福社区》的观后感吧 ～
——————
虾粮海外转运站英语，俄语，韩语，日语组

英语组
收集: 小六进进
翻译: 封心， ...展开全文c",9月22日 11:28,5479,0.0
26,"#抗疫剧最美逆行者#  
“有人挺身而出，有人逆流而上”
首部抗疫题材电视剧《最美逆行者》即将在CCTV播出，这次小粮为大家搬运了来自海外的祝福与期待。

他们，有些是一线的医护工作者，有些是亲友正在经历新冠的折磨…面对这一世界性难题，他们感动于中国在这次疫情防控中的努力，他们很期待了解中国 ...展开全文c",9月16日 12:23,11596,0.0
27,时间过得真快！一转眼#肖战诛仙# 就一周年了👏这一年里#肖战诛仙张小凡# 不仅获得了无数中国观众的肯定和热爱，还揽走了海外粉丝的心诛仙在越南和缅甸的人气也不输国内，小凡的角色给观众们带来欢乐的同时，也留下了许多感动的回忆！来看看越南和缅甸粉丝的眼里，诛仙是怎样的一部作品吧 ...展开全文c,9月13日 15:58,5227,0.0
28,"#肖战代言百威魄斯# 的广告一出，海外虾们都兴奋地大呼太爱这红与黑的极致诱惑了～好想立马开一瓶小耀瓶搭配赏心悦目的代言人肖战@X玖少年团肖战DAYTOY 喝上～海外虾们称赞@百威啤酒 连广告都如此吸引人让他们不由自主地走在了打响指的路上肖战超话

------
虾粮海外 ...展开全文c",9月13日 00:11,2132,0.0
29,#肖战晒坚果# 我们的坚果小公举时隔几月终于在绿洲与各位🦐麻麻们相见坚果一出谁与争锋，可爱到英语虾们泪目，萌化了所有人的心，坚果妹妹的一个笑就跟爸比肖战@X玖少年团肖战DAYTOY 一样，让人心肝儿颤，太可爱太萌了…让我们跟着英语虾虾们的评论用眼神再去rua一遍坚果妹妹吧！ ...展开全文c,9月11日 20:10,4123,0.0
30,#肖战晒坚果# 继坚果小公主营业后，樱花🦐们迅速被坚果的软萌可爱所征服。称赞坚果小可爱人气高的同时，樱花🦐也发出同样的感叹，“坚果和坚果爸爸长得好像呀”一时间不知道该羡慕坚果爸爸肖战@X玖少年团肖战DAYTOY 还是该羡慕🌰都来康康，虾圈最幸福的小猫咪——坚果的专属🌸? ...展开全文c,9月10日 23:05,3408,0.0
31,"肖战超话今天#肖战晒坚果#后，可爱的坚果俘获了与我们在同一片海域冲浪的🌊韩国虾仁们的心, 大家期盼坚果爸爸营业的心情都是一样的啊，nh姐姐还为@X玖少年团肖战DAYTOY 提供了“饲猫视频（长时间）”等物料更新的建议哦，属于坚果姑娘的🌈 快来瞧一瞧啊

————— ...展开全文c",9月9日 23:26,13120,0.0
32,在#2020重庆网民文化季#上，呼吁网络安全的肖战@X玖少年团肖战DAYTOY 受到了国际粉丝的一致认可，都为他感到的非常骄傲，身为重庆人的肖战还将火锅文化推向全世界👏，从@开小灶官方微博 的语音开始，海外粉丝们就做好了抢购的准备，昨天的你们抢到了吗？#肖战为你开小灶# ...展开全文c,9月7日 13:00,6636,0.0
33,"#肖战登上韩国杂志#
肖战登上韩国ten star月刊杂志👏👏👏
标题为“只有我知道的明星：女人心抢夺者肖战”
该杂志每月刊登10位人气明星，肖战@X玖少年团肖战DAYTOY 出现在8月25日发行的9月新刊！韩国粉丝得到消息以后纷纷前往各大报刊亭以及线上购买，粉丝的突 ...展开全文c",9月5日 08:54,20013,0.0
34,"#向全世界安利肖战#近期博客天下“背后的故事”在带给我们感动的同时，小粮也希望让世界各地的虾们都能看到～在本站英、日、韩、法、德、西 语言组的辛勤努力下，“背后的故事”以六种语言形式在小粮的推特上陆续展现给了海外虾们
始于颜值，陷于才华，终于人品，努力圈住更多虾，
小粮与肖战 ...展开全文c",9月3日 15:44,8342,0.0
