,user_link,context,time,like_num
25,https://weibo.com/6045218845?refer_flag=1001030103_,#川美# 听说肖战当年想考川美没考上，200分上了重庆工商艺术设计学院。这是在帮你们那个画咖啡杯，圆面透视都画不对，却敢吹牛逼20万一单设计稿的民办三本割割圆美院梦嘛？#看了感觉真可怜# L呆桃酱_pdin的微博视频,10月06日 00:59,39
26,https://weibo.com/1861370852?refer_flag=1001030103_,"#肖战吹蜡烛# xz #肖战#

或许前路未必是光明坦荡！
但也一定充满无限可能！
热爱可抵岁月漫长！
演员肖战，未来可期

感谢你选择逐梦演艺圈，愿你前途似锦

#肖战余生请多指教#

L肖战工作室的微博视频",10月06日 00:59,3
27,https://weibo.com/6088895817?refer_flag=1001030103_,肖战肖战战今天真的好开心，你的图片，视屏看到真的好满足，看到你的爸爸妈妈去陪你过生日了，你一定很开心吧，愿29岁的你被生活温柔以待，晚安！,10月06日 00:59,3
28,https://weibo.com/7087061391?refer_flag=1001030103_,"#肖战# xz#肖战吹蜡烛#
宝贝 昨天应该很开心吧 以后每天都要开开心心",10月06日 00:59,
29,https://weibo.com/7256088063?refer_flag=1001030103_,"#川美#
别祸害人了 🕯️
@X玖少年团肖战DAYTOY",10月06日 00:59,
30,https://weibo.com/1101011162?refer_flag=1001030103_,"#川美#这盛况如你所愿
🦐国崛起！文艺复兴！文化蝗虫
肖战有你们才是真的了不起#抵制失格偶像肖战# #我讨厌肖战及其粉丝# #我是普通人,我讨厌肖战#",10月06日 00:59,31
31,https://weibo.com/1740845171?refer_flag=1001030103_,我为肖战贡献118影响力，影响力越多排名越高！戳这里→O网页链接 ~跟我一起打榜提高排名吧~,10月06日 00:59,
32,https://weibo.com/7476320356?refer_flag=1001030103_,"#川美##请肖战粉丝远离川美#
存视频
肖战粉丝别洗了别洗了！！
早干嘛去了？？集体失智最为致命！ L封装信的微博视频",10月06日 00:59,
33,https://weibo.com/7264651794?refer_flag=1001030103_,星光大赏为肖战签到@X玖少年团肖战DAYTOY 2衡水·安平县,10月06日 00:59,
34,https://weibo.com/6613075411?refer_flag=1001030103_,#川美#不管怎么样，不按规则，瞎图是事实，聚众也是事实。别家怎样是之前的事情，你们是现在，而且肖战粉丝不是一两次了,10月06日 00:59,
35,https://weibo.com/7311658056?refer_flag=1001030103_,#肖战吹蜡烛#啊啊啊啊啊啊啊啊啊我为什么才看到,10月06日 00:59,
36,https://weibo.com/7305697321?refer_flag=1001030103_,"原来真的会对素未谋面的人思念至极
@X玖少年团肖战DAYTOY",10月06日 00:59,
37,https://weibo.com/6597791690?refer_flag=1001030103_,#肖战##肖战1005生日快乐# 战战，最后再说一次，29岁生日快乐！虽然今天已经说了好多次。今天我们都好开心呀！你也很开心吧！你要好好的哈！晚安！天亮再见！@X玖少年团肖战DAYTOY,10月06日 00:59,
38,https://weibo.com/7387646897?refer_flag=1001030103_,我刚刚在#星光大赏# 为 @X玖少年团肖战DAYTOY 贡献星光，一起@腾讯视频 送我去现场为爱豆打call！ O星光大赏星光能量榜,10月06日 00:59,
39,https://weibo.com/7406236387?refer_flag=1001030103_,肖战日常爱肖战@X玖少年团肖战DAYTOY,10月06日 00:59,
